sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
116|-150897647.29278573|-11505445.810518773|-4958319.401543538|2059749.9571844493|0.6|0.654506096186795|-27.767762982538027|-12.041343280085034|293309583.5361022|164151330.85821518|71138595.34992692|343564944.31912804
117|-150885186.73385188|-11998486.412580242|-5172124.017936242|2077506.4223325911|0.6|0.7489813128175586|-27.76582936524986|-12.04052413307137|292982777.92333597|164933083.07337126|71493327.45804137|343734091.88322467
118|-150871049.06091034|-12491489.960326128|-5385912.9095379915|2095262.887480733|0.6|0.8434076423965421|-27.76358943130391|-12.039572144929961|292653717.7375421|165714179.10733396|71847775.47770402|343903315.6337942
119|-150855235.15487245|-12984451.018012412|-5599683.719013048|2113019.3526288746|0.6|0.9377836411334686|-27.761043559031133|-12.038487479424536|292322405.4382886|166494612.69086558|72201936.62659904|344072615.0523171
120|-150837745.92213252|-13477364.156632915|-5813434.091942249|2130775.8177770167|0.6|1.0321078681515397|-27.75819213389947|-12.0372703034143|291988843.51156276|167274377.56517023|72555808.12700075|344241989.62066954
121|-150818582.29461157|-13970223.954079516|-6027161.676892474|2148532.2829251583|0.6|1.1263788855606118|-27.755035548536057|-12.035920786863585|291653034.4698034|168053467.48205143|72909387.20584223|344411438.8212399
122|-150797745.2298529|-14463024.99532025|-6240864.125493866|2166288.7480733|0.6|1.2205952585399076|-27.751574202772975|-12.034439102861702|291314980.851985|168831876.20408764|73262671.09479167|344580962.13709825
123|-150775235.7108776|-14955761.872495532|-6454539.092481575|2184045.213221442|0.6|1.3147555553768515|-27.74780850358462|-12.032825427595794|290974685.22346216|169609597.50472608|73615657.03029329|344750559.0519178
124|-150751054.74613795|-15448429.185047872|-6668184.235752026|2201801.6783695836|0.6|1.4088583475238834|-27.743738865069524|-12.031079940342957|290632150.17591137|170386625.16840968|73968342.25362271|344920229.04999745
125|-150725203.36947167|-15941021.539851751|-6881797.216419242|2219558.1435177256|0.6|1.502902209655292|-27.739365708432164|-12.029202823462368|290287378.3272741|171162952.9907045|74320724.01094234|345089971.61628836
126|-150697682.64005554|-16433533.551343275|-7095375.698871081|2237314.6086658672|0.6|1.5968857197240167|-27.734689461964745|-12.0271942623874|289940372.32169926|171938574.77842665|74672799.55335677|345259786.2364193
127|-150668493.64235917|-16925959.841650046|-7308917.350825561|2255071.0738140093|0.6|1.6908074590184856|-27.729710561029012|-12.025054445617744|289591134.8294856|172713484.34976944|75024566.13696812|345429672.3967234
128|-150637637.48592305|-17418295.04065794|-7522419.8433598615|2272827.538962151|0.6|1.7846660121836646|-27.72442944795877|-12.022783564677143|289239668.5468486|173487675.53436765|75376021.02290416|345599629.58408123
129|-150605115.30461365|-17910533.78589115|-7735880.850858459|2290584.0041102925|0.6|1.8784599671359266|-27.71884657172683|-12.020381813968934|288885976.19516456|174261142.17317453|75727161.47726542|345769657.2852169
130|-150570928.25785476|-18402670.723098706|-7949298.05126722|2308340.4692584346|0.6|1.972187915379469|-27.712962388502557|-12.017849391017918|288530060.52219045|175033878.11904597|76077984.7713784|345939754.98807013
131|-150535077.53017685|-18894700.506239586|-8162669.126087019|2326096.934406576|0.6|2.065848451980922|-27.70677736145137|-12.015186496383386|288171924.30160266|175805877.23672244|76428488.18178816|346109922.18140155
132|-150497564.33106732|-19386617.79757551|-8375991.760414031|2343853.3995547183|0.6|2.159440175605138|-27.700291960669862|-12.012393333631001|287811570.3328358|176577133.40291917|76778668.99029765|346280158.3547156
133|-150458389.8949174|-19878417.26779817|-8589263.642994897|2361609.86470286|0.6|2.252961688570593|-27.693506663164502|-12.009470109323575|287449001.44101846|177347640.5064507|77128524.48402187|346450462.99828535
134|-150417555.48096913|-20370093.596156638|-8802482.466281991|2379366.329851002|0.6|2.346411596904829|-27.68642195283035|-12.006417033011838|287084220.47690976|178117392.44835496|77478051.9554421|346620835.6031795
